customer_state,delivered_orders,unique_customers,product_revenue,average_order_value,average_review_score,late_delivery_rate_pct,average_delivery_days
SP,40501,39156,5067633.16,125.12,4.25,5.89,8.7
RJ,12350,11917,1759651.13,142.48,3.97,13.47,15.24
MG,11354,11001,1552481.83,136.73,4.19,5.61,11.94
RS,5345,5168,728897.47,136.37,4.19,7.15,15.25
PR,4923,4769,666063.51,135.3,4.24,5.0,11.94
SC,3546,3449,507012.13,142.98,4.13,9.76,14.9
BA,3256,3158,493584.14,151.59,3.93,14.04,19.28
DF,2080,2019,296498.41,142.55,4.13,7.07,12.9
GO,1957,1895,282836.7,144.53,4.1,8.18,15.54
ES,1995,1928,268643.45,134.66,4.08,12.23,15.72
PE,1593,1551,251889.49,158.12,4.08,10.8,18.4
CE,1279,1258,219757.38,171.82,3.94,15.32,21.2
PA,946,922,174470.59,184.43,3.91,12.37,23.73
MT,886,856,152191.62,171.77,4.15,6.77,18.0
MA,717,700,117009.38,163.19,3.83,19.67,21.51
MS,701,681,115429.97,164.66,4.16,11.55,15.54
PB,517,504,112586.82,217.77,4.08,11.03,20.39
PI,476,464,84721.0,177.99,3.99,15.97,19.39
RN,474,464,82105.66,173.22,4.15,10.76,19.22
AL,397,387,78855.72,198.63,3.85,23.93,24.5
SE,335,329,56574.19,168.88,3.91,15.22,21.46
TO,274,267,48402.51,176.65,4.15,12.77,17.6
RO,243,231,45682.76,187.99,4.17,2.88,19.28
AM,145,140,22155.84,152.8,4.24,4.14,26.36
AC,80,76,15930.97,199.14,4.09,3.75,21.0
AP,67,66,13374.81,199.62,4.24,4.48,27.18
RR,41,40,7057.47,172.13,3.9,12.2,29.34
